exp_ID,npar,subj,nblock,ntrial,nrep,cond-1,trial_type,rDV,deci-3,deci-2,deci-1,cond,deci,DV,resp,corr-1,r_map,correct,confi,RT,d1,d2,d3,d4,d5,d6,o1,o2,o3,o4,o5,o6,metad,metad_3%,metad_97%
CJ_EEG,1,s01,0,0,0,0,repeat,-0.2039737545449053,0,0,0,0,0,-0.18,-1.0,0,0,1,-0.1,1.2249115000004167,0.13214589569853205,0.8207325489712827,-0.15405029273797055,-0.9867489549947669,-0.09142561461697504,-0.944496109589534,2.697,0.715,1.903,1.576,1.214,1.549,0.086,-0.345,0.51
CJ_EEG,1,s01,0,0,1,0,repeat,-0.2039737545449053,0,0,0,0,0,-0.18,-1.0,1,45,1,0.6,1.4986705999999685,0.13214589569853205,0.8207325489712827,-0.15405029273797055,-0.9867489549947669,-0.09142561461697504,-0.944496109589534,2.697,0.715,1.903,1.576,1.214,1.549,0.086,-0.345,0.51
CJ_EEG,1,s01,0,0,2,0,repeat,-0.2039737545449053,0,0,0,0,0,-0.18,-1.0,1,0,1,0.85,5.184099600000081,0.13214589569853205,0.8207325489712827,-0.15405029273797055,-0.9867489549947669,-0.09142561461697504,-0.944496109589534,2.697,0.715,1.903,1.576,1.214,1.549,0.086,-0.345,0.51
CJ_EEG,1,s01,0,1,0,0,nonrepeat,-0.08156987506436926,0,0,0,0,1,-0.08,1.0,1,45,0,0.5,1.053535400000328,-0.7346475251372047,0.13978533296694332,-0.13622493911167854,-0.22280522815366965,-0.24676083907466476,0.7112339481240588,1.675,2.694,1.91,1.876,1.275,0.672,0.086,-0.345,0.51
CJ_EEG,1,s01,0,1,1,0,nonrepeat,-0.08156987506436926,0,0,1,0,1,-0.08,1.0,0,45,0,0.8,1.0001758999997037,-0.7346475251372047,0.13978533296694332,-0.13622493911167854,-0.22280522815366965,-0.24676083907466476,0.7112339481240588,1.675,2.694,1.91,1.876,1.275,0.672,0.086,-0.345,0.51
CJ_EEG,1,s01,0,1,2,0,nonrepeat,-0.08156987506436923,0,1,1,0,1,-0.08,1.0,0,45,0,0.8,1.1486133999997037,-0.7346475251372053,0.13978533296694332,-0.136224939111678,-0.22280522815366965,-0.24676083907466476,0.711233948124059,0.10420367320510326,1.1232036732051034,0.3392036732051036,0.30520367320510333,2.8457963267948965,2.2427963267948967,0.086,-0.345,0.51
CJ_EEG,1,s01,0,2,0,0,nonrepeat,0.16976137523969367,1,1,1,1,1,0.18,1.0,0,0,1,1.0,1.1984237999995457,-0.33640625676400715,0.5839099936505425,-0.7881235860160819,0.5895216013873641,0.08885575117753675,0.8808107480028078,2.881,0.622,1.654,2.195,2.714,2.403,0.086,-0.345,0.51
CJ_EEG,1,s01,0,2,1,1,nonrepeat,0.16976137523969367,1,1,1,1,1,0.18,1.0,1,0,1,0.6,0.881385799999407,-0.33640625676400715,0.5839099936505425,-0.7881235860160819,0.5895216013873641,0.08885575117753675,0.8808107480028078,2.881,0.622,1.654,2.195,2.714,2.403,0.086,-0.345,0.51
CJ_EEG,1,s01,0,2,2,1,nonrepeat,0.16976137523969323,1,1,1,1,1,0.18,1.0,1,0,1,0.9,1.3774655000006533,-0.33640625676400826,0.5839099936505421,-0.7881235860160819,0.5895216013873641,0.08885575117753562,0.8808107480028078,1.3102036732051037,2.1927963267948964,0.08320367320510336,0.6242036732051033,1.1432036732051039,0.8322036732051035,0.086,-0.345,0.51
CJ_EEG,1,s01,0,3,0,1,repeat,0.17027223001425215,1,1,1,1,1,0.18,1.0,1,45,1,0.5,0.8621746999997413,0.4076842869192086,-0.2472794886325465,-0.2167217395589026,-0.5844052588584556,0.744338176287173,0.9180174039290361,1.018,2.846,2.834,1.734,0.685,2.324,0.086,-0.345,0.51
CJ_EEG,1,s01,0,3,1,1,repeat,0.17027223001425215,1,1,1,1,1,0.18,1.0,1,45,1,0.75,1.1931051999999909,0.4076842869192086,-0.2472794886325465,-0.2167217395589026,-0.5844052588584556,0.744338176287173,0.9180174039290361,1.018,2.846,2.834,1.734,0.685,2.324,0.086,-0.345,0.51
CJ_EEG,1,s01,0,3,2,1,repeat,0.17027223001425215,1,1,1,1,1,0.18,1.0,1,0,1,0.9,3.388478599999871,0.4076842869192086,-0.2472794886325465,-0.2167217395589026,-0.5844052588584556,0.744338176287173,0.9180174039290361,1.018,2.846,2.834,1.734,0.685,2.324,0.086,-0.345,0.51
CJ_EEG,1,s01,0,4,0,1,nonrepeat,0.09769757596434799,1,1,1,1,1,0.08,1.0,1,45,1,0.6,0.9582829000000856,0.7092061185924696,-0.16018055003267417,-0.671504197458328,0.26050714928781105,0.7107152985661773,-0.2625583631693679,2.242,1.241,0.129,0.495,0.899,2.852,0.086,-0.345,0.51
CJ_EEG,1,s01,0,4,1,1,nonrepeat,0.09769757596434799,1,1,1,1,1,0.08,1.0,1,45,1,0.9,1.0965498999994452,0.7092061185924696,-0.16018055003267417,-0.671504197458328,0.26050714928781105,0.7107152985661773,-0.2625583631693679,2.242,1.241,0.129,0.495,0.899,2.852,0.086,-0.345,0.51
CJ_EEG,1,s01,0,4,2,1,nonrepeat,0.09769757596434787,1,1,1,1,1,0.08,1.0,1,0,1,0.95,1.4285338999998203,0.7092061185924696,-0.16018055003267417,-0.671504197458328,0.2605071492878115,0.7107152985661773,-0.26255836316936904,0.6712036732051034,2.8117963267948967,1.6997963267948966,2.0657963267948967,2.4697963267948966,1.2812036732051038,0.086,-0.345,0.51
CJ_EEG,1,s01,0,5,0,1,repeat,-0.06315501985386078,1,1,1,0,1,-0.08,1.0,1,0,0,0.8,1.3092879000005269,-0.11231609689061942,-0.4728788284796427,0.5273688041243141,0.2941300270088072,-0.7377126537845564,0.12247862889853249,2.793,0.207,0.971,2.079,0.103,1.13,0.086,-0.345,0.51
CJ_EEG,1,s01,0,5,1,0,repeat,-0.06315501985386078,1,1,1,0,1,-0.08,1.0,0,0,0,0.95,1.23176070000045,-0.11231609689061942,-0.4728788284796427,0.5273688041243141,0.2941300270088072,-0.7377126537845564,0.12247862889853249,2.793,0.207,0.971,2.079,0.103,1.13,0.086,-0.345,0.51
CJ_EEG,1,s01,0,5,2,0,repeat,-0.06315501985386078,1,1,1,0,1,-0.08,1.0,0,45,0,1.0,1.4330354000003354,-0.11231609689061942,-0.4728788284796427,0.5273688041243141,0.2941300270088072,-0.7377126537845564,0.12247862889853249,2.793,0.207,0.971,2.079,0.103,1.13,0.086,-0.345,0.51
CJ_EEG,1,s01,0,6,0,0,nonrepeat,-0.17935779001335894,1,1,1,0,0,-0.18,-1.0,0,0,1,0.4,0.8413832999995066,0.12045079936694325,-0.2895323340377791,-0.22690765591678388,0.6353582249978305,-0.5258362398006384,-0.7896795346897261,0.44,0.279,2.838,2.213,1.757,3.059,0.086,-0.345,0.51
CJ_EEG,1,s01,0,6,1,0,nonrepeat,-0.17935779001335894,1,1,0,0,0,-0.18,-1.0,1,0,1,0.7,0.7649648999995406,0.12045079936694325,-0.2895323340377791,-0.22690765591678388,0.6353582249978305,-0.5258362398006384,-0.7896795346897261,0.44,0.279,2.838,2.213,1.757,3.059,0.086,-0.345,0.51
CJ_EEG,1,s01,0,6,2,0,nonrepeat,-0.17935779001335916,1,0,0,0,0,-0.18,-1.0,1,0,1,0.75,1.6043749999998909,0.12045079936694303,-0.28953233403777945,-0.22690765591678388,0.6353582249978305,-0.525836239800639,-0.7896795346897261,2.0107963267948965,1.8497963267948965,1.2672036732051035,0.6422036732051035,0.18620367320510312,1.4882036732051036,0.086,-0.345,0.51
CJ_EEG,1,s01,0,7,0,0,repeat,0.17646554455196764,0,0,0,1,1,0.18,1.0,1,0,1,0.6,0.8982568999999785,0.029296201703893132,0.9266473716132743,-0.1449016754958522,0.38325679514026767,-0.14796680414320346,0.012461378493426354,1.975,2.385,1.235,2.114,2.807,2.744,0.086,-0.345,0.51
CJ_EEG,1,s01,0,7,1,1,repeat,0.17646554455196764,0,0,1,1,1,0.18,1.0,1,45,1,0.8,1.3072933000003104,0.029296201703893132,0.9266473716132743,-0.1449016754958522,0.38325679514026767,-0.14796680414320346,0.012461378493426354,1.975,2.385,1.235,2.114,2.807,2.744,0.086,-0.345,0.51
CJ_EEG,1,s01,0,7,2,1,repeat,0.17646554455196764,0,1,1,1,1,0.18,1.0,1,45,1,0.95,1.1322372999993604,0.029296201703893132,0.9266473716132743,-0.1449016754958522,0.38325679514026767,-0.14796680414320346,0.012461378493426354,1.975,2.385,1.235,2.114,2.807,2.744,0.086,-0.345,0.51
CJ_EEG,1,s01,0,8,0,1,nonrepeat,0.10448818686960219,1,1,1,1,1,0.08,1.0,1,45,1,0.8,1.238251300000229,-0.11179744733273766,0.9908279984079131,0.8945804425659221,-0.6251489242899809,0.47082761459808536,-0.992360562731589,1.222,0.789,0.744,1.718,2.564,0.003,0.086,-0.345,0.51
CJ_EEG,1,s01,0,8,1,1,nonrepeat,0.10448818686960219,1,1,1,1,1,0.08,1.0,1,0,1,0.8,1.3636876000000484,-0.11179744733273766,0.9908279984079131,0.8945804425659221,-0.6251489242899809,0.47082761459808536,-0.992360562731589,1.222,0.789,0.744,1.718,2.564,0.003,0.086,-0.345,0.51
CJ_EEG,1,s01,0,8,2,1,nonrepeat,0.10448818686960198,1,1,1,1,1,0.08,1.0,1,0,1,0.65,1.7004736999997476,-0.11179744733273766,0.9908279984079128,0.8945804425659216,-0.6251489242899809,0.47082761459808536,-0.9923605627315893,2.7927963267948965,2.3597963267948967,2.3147963267948963,0.1472036732051034,0.9932036732051035,1.5737963267948964,0.086,-0.345,0.51
CJ_EEG,1,s01,0,9,0,1,repeat,0.07860677757664314,1,1,1,1,1,0.08,1.0,1,45,1,0.5,1.0529991000003065,-0.3272108708219529,-0.9134197109580089,0.7728680958292276,0.6786483695188257,-0.5181968025322272,0.7789515844239947,1.835,0.034,2.267,2.23,1.76,2.443,0.086,-0.345,0.51
CJ_EEG,1,s01,0,9,1,1,repeat,0.07860677757664314,1,1,1,1,1,0.08,1.0,1,45,1,0.5,1.5873178000001644,-0.3272108708219529,-0.9134197109580089,0.7728680958292276,0.6786483695188257,-0.5181968025322272,0.7789515844239947,1.835,0.034,2.267,2.23,1.76,2.443,0.086,-0.345,0.51
CJ_EEG,1,s01,0,9,2,1,repeat,0.07860677757664314,1,1,1,1,1,0.08,1.0,1,0,1,0.5,1.232145699999819,-0.3272108708219529,-0.9134197109580089,0.7728680958292276,0.6786483695188257,-0.5181968025322272,0.7789515844239947,1.835,0.034,2.267,2.23,1.76,2.443,0.086,-0.345,0.51
CJ_EEG,1,s01,0,10,0,1,nonrepeat,-0.0073918046644544004,1,1,1,1,0,0.01,-1.0,1,45,0,0.25,1.3006580999999642,-0.08581400688015317,-0.8548506919001915,-0.1072231387116782,-0.06138651510121287,0.21669835520893432,0.8482251693975751,0.359,0.057,2.791,2.773,1.093,0.845,0.086,-0.345,0.51
CJ_EEG,1,s01,0,10,1,1,nonrepeat,-0.0073918046644544004,1,1,0,1,0,0.01,-1.0,0,45,0,0.45,1.3108466000003318,-0.08581400688015317,-0.8548506919001915,-0.1072231387116782,-0.06138651510121287,0.21669835520893432,0.8482251693975751,0.359,0.057,2.791,2.773,1.093,0.845,0.086,-0.345,0.51
CJ_EEG,1,s01,0,10,2,1,nonrepeat,-0.007391804664454345,1,0,0,1,0,0.01,-1.0,0,45,0,0.6,1.5789834000006522,-0.08581400688015317,-0.8548506919001916,-0.10722313871167934,-0.061386515101211736,0.21669835520893432,0.8482251693975756,1.9297963267948965,1.6277963267948965,1.2202036732051038,1.2022036732051031,2.6637963267948965,2.4157963267948963,0.086,-0.345,0.51
CJ_EEG,1,s01,0,11,0,1,repeat,0.11891823504326722,0,0,0,1,1,0.11,1.0,0,45,1,0.05,1.1732404000003953,-0.4733974780375242,-0.3862985394376516,0.8181860698818122,0.4820508300717292,0.7137804272135291,-0.44081189943229143,1.364,0.241,0.714,0.582,0.673,2.922,0.086,-0.345,0.51
CJ_EEG,1,s01,0,11,1,1,repeat,0.11891823504326722,0,0,1,1,1,0.11,1.0,1,45,1,0.95,0.7031645999995817,-0.4733974780375242,-0.3862985394376516,0.8181860698818122,0.4820508300717292,0.7137804272135291,-0.44081189943229143,1.364,0.241,0.714,0.582,0.673,2.922,0.086,-0.345,0.51
CJ_EEG,1,s01,0,11,2,1,repeat,0.11891823504326722,0,1,1,1,1,0.11,1.0,1,45,1,0.95,1.1263418999997157,-0.4733974780375242,-0.3862985394376516,0.8181860698818122,0.4820508300717292,0.7137804272135291,-0.44081189943229143,1.364,0.241,0.714,0.582,0.673,2.922,0.086,-0.345,0.51
CJ_EEG,1,s01,0,12,0,1,nonrepeat,0.1252844327669433,1,1,1,1,1,0.11,1.0,1,45,1,0.25,1.8373373999993419,-0.15305976232214466,0.16883390206687943,-0.5523383298111041,0.6353582249978305,0.8859037061817491,-0.23299114451155045,2.809,0.459,1.395,2.213,2.401,1.872,0.086,-0.345,0.51
CJ_EEG,1,s01,0,12,1,1,nonrepeat,0.1252844327669433,1,1,1,1,1,0.11,1.0,1,0,1,0.55,1.7533802999996624,-0.15305976232214466,0.16883390206687943,-0.5523383298111041,0.6353582249978305,0.8859037061817491,-0.23299114451155045,2.809,0.459,1.395,2.213,2.401,1.872,0.086,-0.345,0.51
CJ_EEG,1,s01,0,12,2,1,nonrepeat,0.12528443276694323,1,1,1,1,1,0.11,1.0,1,45,1,0.8,1.5616040000004432,-0.15305976232214466,0.16883390206687965,-0.5523383298111041,0.6353582249978305,0.8859037061817491,-0.232991144511551,1.2382036732051036,2.0297963267948966,2.9657963267948966,0.6422036732051035,0.8302036732051032,0.30120367320510333,0.086,-0.345,0.51
CJ_EEG,1,s01,0,13,0,1,repeat,-0.02376324077672835,1,1,1,0,1,-0.01,1.0,1,45,0,0.35,1.8134655000003477,0.06697473848806634,0.5044504923190811,0.11229271254065118,0.10569057438800233,-0.46981369983229115,-0.46217426256387995,0.419,0.98,1.134,2.005,1.779,1.782,0.086,-0.345,0.51
CJ_EEG,1,s01,0,13,1,0,repeat,-0.02376324077672835,1,1,1,0,1,-0.01,1.0,0,0,0,0.55,3.319379800000206,0.06697473848806634,0.5044504923190811,0.11229271254065118,0.10569057438800233,-0.46981369983229115,-0.46217426256387995,0.419,0.98,1.134,2.005,1.779,1.782,0.086,-0.345,0.51
CJ_EEG,1,s01,0,13,2,0,repeat,-0.02376324077672835,1,1,1,0,1,-0.01,1.0,0,45,0,0.6,1.3540272000000186,0.06697473848806634,0.5044504923190811,0.11229271254065118,0.10569057438800233,-0.46981369983229115,-0.46217426256387995,0.419,0.98,1.134,2.005,1.779,1.782,0.086,-0.345,0.51
CJ_EEG,1,s01,0,14,0,0,repeat,-0.0869221580222505,1,1,1,0,0,-0.11,-1.0,0,45,1,0.25,3.088448100000278,-0.42807950398493894,0.1438877607300575,-0.40105876441659205,0.4713462641559668,0.6883156363188259,-0.9959443409368223,2.917,2.02,1.806,0.993,0.663,3.14,0.086,-0.345,0.51
CJ_EEG,1,s01,0,14,1,0,repeat,-0.0869221580222505,1,1,0,0,0,-0.11,-1.0,1,0,1,0.1,3.1368583000003127,-0.42807950398493894,0.1438877607300575,-0.40105876441659205,0.4713462641559668,0.6883156363188259,-0.9959443409368223,2.917,2.02,1.806,0.993,0.663,3.14,0.086,-0.345,0.51
CJ_EEG,1,s01,0,14,2,0,repeat,-0.0869221580222505,1,0,0,0,0,-0.11,-1.0,1,45,1,0.35,1.275969599999371,-0.42807950398493894,0.1438877607300575,-0.40105876441659205,0.4713462641559668,0.6883156363188259,-0.9959443409368223,2.917,2.02,1.806,0.993,0.663,3.14,0.086,-0.345,0.51
CJ_EEG,1,s01,0,15,0,0,nonrepeat,0.1199321498090619,0,0,0,1,1,0.11,1.0,1,45,1,0.2,2.088395699999637,0.6419603631504786,-0.1321692800485003,-0.38478935946394366,0.9220730629922146,0.37151493010874226,-0.6989968178846202,0.926,1.23,2.9,0.816,2.603,1.689,0.086,-0.345,0.51
CJ_EEG,1,s01,0,15,1,1,nonrepeat,0.1199321498090619,0,0,1,1,1,0.11,1.0,1,45,1,0.45,1.169270499999584,0.6419603631504786,-0.1321692800485003,-0.38478935946394366,0.9220730629922146,0.37151493010874226,-0.6989968178846202,0.926,1.23,2.9,0.816,2.603,1.689,0.086,-0.345,0.51
CJ_EEG,1,s01,0,15,2,1,nonrepeat,0.11993214980906186,0,1,1,1,1,0.11,1.0,1,45,1,0.65,1.2904796999991959,0.6419603631504782,-0.1321692800485003,-0.38478935946394477,0.9220730629922148,0.3715149301087434,-0.6989968178846202,2.4967963267948967,2.8007963267948965,1.3292036732051038,2.3867963267948964,1.0322036732051032,0.1182036732051035,0.086,-0.345,0.51
CJ_EEG,1,s01,0,16,0,1,repeat,0.030294526903041907,1,1,1,1,1,0.01,1.0,1,45,1,0.4,1.0780727000001207,0.018591635788130167,0.3384107019456283,-0.37408479354818114,0.33586422285615825,-0.6771158051951498,0.5401011995716657,0.4,2.616,1.325,2.617,1.444,0.966,0.086,-0.345,0.51
